,word,,domains,english,spanish,french,indonesian
2631,לְבָאוֹת,PN,settlement,Lebaoth,Lebaot,Levaoth,Lebaot
2632,לְבוֹנָה,PN,settlement,Lebonah,Leboná,Levona,Lebona
2633,לָבִיא,FA,mammals,lion,,,
2634,לְבִיָּא,FA,mammals,lioness,,,
2635,לָבָן-1,PN,person,Laban,Labán,Laban / blanc,Laban
2636,לָבָן-2,PN,settlement,Laban,Labán,Laban,Laban
2637,לִבְנָה-1,PN,settlement,Libnah,Libná,Livna,Libna
2638,לִבְנָה-2,PN,settlement,Libnah,Libná,Livna,Libna
2639,לִבְנֶה-1,FL,trees,white poplar,,peuplier blanc,pohon hawar besar
2640,לִבְנֶה-2,FL,trees,styrax tree,,styrax,pohon hawar kecil
2641,לְבָנָה,PN,person,Lebanah,Lebaná,Levana,Lebana
2642,לְבֵנָה,RE,construction,brick,adobe / ladrillo,brique / pavé,batu bata
2643,לְבֹנָה,FL,perfumes and spices,frankincense,incienso,encens / résine,kemenyan
2644,לְבָנוֹן,PN,area,Lebanon,Líbano,Liban,gunung Libanon
2645,לִבְנִי-1,PN,person,Libni,Libní,Livni,Libni
2646,לִבְנִי-2,PN,person,Libni,Libní,Livni,Libni
2647,לִבְנִי-3,PN,group,Libnite,Libnita,Livnites,Libni
2648,לֹד,PN,settlement,Lod,Lod,Lod,Lod
2649,לִדְבִּר,PN,settlement,of Debir,Debir,Lodevar,Debir / Lodebar
2650,לְהָבִים,PN,group,Lehabim,Lehabitas,Lehav,orang Lehabim
2651,לָהַד,PN,person,Lahad,Láhad,Lahad,Lahad
2652,לוֹ דְבָר,PN,settlement,Lodebar,Lodebar,Lodevar,Lodebar
2653,לוּבִי,PN,group,Libyan,Libios,Libyen / de Libye,orang Libia
2654,לוּד,PN,person /  area,Lud,Lud,Loud,Lud
2655,לוּדִים,PN,group,Ludim,Ludeos,Loud / gens de Loud,orang Ludim
2656,לוּז-1,FL,trees,almond tree,almendro,amandier,pohon badam
2657,לוּז-2,PN,settlement,Luz,Luz,Louz,Lus
2658,לוּחַ-1,RE,construction,board / plank,tabla,planche,papan
2659,לוּחַ-2,RE,communication /  writing,tablet,tabla de piedra,tablette,loh batu / tablet
2660,לוּחִית,PN,locale,Luhith,Luhit,Louhith,Luhit
2661,לוֹט,PN,person,Lot,Lot,Loth,Lot
2662,לוֹטָן,PN,person,Lotan,Lotán,Lotân,Lotan
2663,לֵוָי (AR),PN,group,Levite,levita,lévite,orang Lewi
2664,לֵוִי-1,PN,person,Levi,Leví,Lévi,Lewi
2665,לֵוִי-2,PN,group,Levite,levita,lévite / clans de Lévi,orang Lewi
2666,לִוְיָתָן,FA,mythical,sea monster / Leviathan,leviatán o monstruo marino,grand dragon / Léviatan,Lewiatan
2667,לְחִי,PN,locale,Lehi,Lehí,Lèhi,Lehi
2668,לֶחֶם פָּנִים,RI,sacrifices and offerings,bread of display / bread of the Presence / sacred bread,pan de la proposición / pan de la Presencia / pan sagrado,pain d'offrande,roti sajian / roti kehadiran Tuhan / roti suci
2669,לַחְמִי,PN,person,Lahmi,Lahmí,Lahmi,Lahmi
2670,לַחְמָס,PN,settlement,Lahmas,Lahmam,Lahmas,Lahmas
2671,לֹט,FL,health /  perfumes and spices,ladanum / fragrant sap,mirra,myrrhe ou fruit du micocoulier ou du châtaignier [type de résine,damar ladan / getah harum
2672,לְטָאָה,FA,snakes and lizards,lizard,lagarto,lézard,bengkarung
2673,לְטוּשִׁם,PN,group,Letushim,Jocsán,Letoushite,orang Letush / Letus
2674,לִילִית,FA,birds,tawny owl / scops owl,búho / lechuza demonio,oiseau de nuit,burung hantu malam
2675,לַיִשׁ-1,FA,mammals /  wild animals,mighty lion,león / león de manada,lion,singa jantan
2676,לַיִשׁ-2,PN,settlement,Laish,Lais,Laïsh,Lais
2677,לַיִשׁ-3,PN,person,Laish,Lais,Laïsh,Lais
2678,לַיְשָׁה,PN,locale,Laishah,Laisa,Laïsha,Laisya
2679,לֵכָה,PN,settlement,Lekah,Lecá,Léka,Lekha
2680,לָכִישׁ,PN,settlement,Lachish,Laquis,Lakish,Lakhis
2681,לְמוֹאֵל,PN,person,Lemuel,Lemuel,Lemouël,Lemuel
2682,לֶמֶךְ-1,PN,person,Lamech,Lámec,Lamek,Lamekh
2683,לֶמֶךְ-2,PN,person,Lamech,Lámec,Lamek,Lamekh
2684,לַעְדָּה,PN,person,Laadah,Ladá,Laéda,Lada
2685,לַעְדָּן-1,PN,person,Ladan,Ladán,Laédân,Ladan
2686,לַעְדָּן-2,PN,person,Ladan,Ladán,Laédân,Ladan
2687,לַעֲנָה,FL,health,wormwood,ajenjo,absinthe [plante,tanaman pahit dan beracun
2688,לַפִּידוֹת,PN,person,Lappidoth,Lapidot,Lappidoth,Lapidot
2689,לַקּוּם,PN,settlement,Lakkum,Lacum,Laqqoum,Lakum
2690,לִקְחִי,PN,person,Likhi,Liquehí,Liqhi,Likhi
2691,לֶשֶׁם-1,RE,gemstones,jacinth,jacinto,pierre précieuse / ligure / jacinthe / turquoise,ambar / lazuardi
2692,לֶשֶׁם-2,PN,settlement,Leshem,Lesén,Lèshem,Lesem
2693,לֶשַׁע,PN,settlement,Lasha,Lesa,Lèsha,Lasa
2694,מַאֲבוּס,RE,constructions /  agriculture /  food,granary,granero,grenier,lumbung / gudang gandum
2695,מֹאזְנַיִם,RE,tools /  weight /  commerce,balance / scales,balanza,balance,timbangan
2696,מְאֵרָה,RI,blessing and curse /  communication,curse,maldición,imprécation / malédiction,kutukan
2697,מִבְחָר,PN,person,Mibhar,Mibhar,Mivhar,Mibhar
2698,מִבְטָח,AT,attitudes and emotions,safety / confidence / trust,confianza / esperanza,securité / assurance / confiance / sûreté,keamanan / kepercayaan
2699,מְבֻנַּי,PN,person,Mebunnai,Sibecai,Mevounaï,Mebunai
2700,מִבְצָר,PN,person,Mibzar,Mibsar,Mivçar,Mibzar
2701,מִבְשָׂם-1,PN,person,Mibsam,Mibsam,Mivsam,Mibsam
2702,מִבְשָׂם-2,PN,person,Mibsam,Mibsam,Mivsam,Mibsam
2703,מַגְבִּישׁ,PN,person,Magbish,Magbís,Magbish,Magbis
2704,מְגִדּוֹ,PN,settlement,Megiddo,Meguido,Meguiddo,Megido
2705,מִגְדּוֹל,RE,constructions,tower,Migdol,Migdol,menara
2706,מַגְדִּיאֵל,PN,person,Magdiel,Magdiel,Magdiël,Magdiel
2707,מִגְדָּל,RE,constructions,watchtower,torre / tribuna,tour / migdal / bastion,menara
2708,מִגְדֹּל,PN,locale,Migdol,Migdol,Migdol,Migdol
2709,מִגְדַּל־אֵל,PN,settlement,Migdal-El,Migdal-el,Migdal-El,Migdal-El
2710,מִגְדַּל־גָד,PN,settlement,Migdal-Gad,Migdal-gad,Migdal-Gad,Migdal-Gad
2711,מִגְדַּל מֵאָה,PN,constructions,Tower of a Hundred,Torre de los Cien,Hananéel,Menara Seratus / Menara Mea
2712,מִגְדַּל־עֵדֶר,PN,locale,Migdal Eder,Torre de Éder,Migdal-Eder,Migdal-Eder
2713,מִגְדַּל־שְׁכֶם,PN,settlement,Tower of Shechem,Torre de Siquén,Migdal-Sichem / Tour de Sichem,Menara Sikhem
2714,מָגוֹג,PN,person /  area,Magog,Magog,Magog,Magog
2715,מַגָּל,RE,agriculture,sickle,hoz,livrer / donner,sabit
2716,מְגִלָּה,RE,communication /  writing,scroll,rollo,rouleau / livre,kitab gulungan
2717,מָגֵן-1,RE,warfare,shield,,bouclier,perisai
2718,מָגֵן-2,AT,"help, protect, save",shield / protector,,bouclier / protecteur,perisai / pelindung
2719,מַגֵּפָה,MI,"violence, harm, destroy, kill",blow / plague / defeat,plaga,peste / défaite,tulah / wabah
2720,מַגְפִּיעָשׁ,PN,person,Magpiash,Magpías,Magpiash,Magpias
2721,מְגֵרָה,RE,tools /  construction,stone plane / stone file,sierra,scie,gergaji batu / kikir batu
2722,מִגְרוֹן,PN,settlement,Migron,Migrón,Migrôn,Migron
2723,מָדוֹן,PN,locale,Madon,Madón,Madôn,Madon
2724,מָדַי (AR),PN,person /  area,Madai / Media / Mede,,Madaï / de Médie / Mède,Madai / Media
2725,מָדַי,PN,person /  area,Madai / Media / Mede,Madai,Madaï / de Médie / Mède,Madai / Media
2726,מִדִּין,PN,settlement,Middin,Midín,Middîn,Midin
2727,מִדְיָן,PN,person,Midian,Madián,Madiân / Madianites,Midian
2728,מִדְיָנִי,PN,group,Midianite,Madianita,Madianite,orang Midian
2729,מַדְמֵן,PN,locale,Madmen,Madmén,Madmén,Madmen
2730,מַדְמַנָּה,PN,settlement,Madmannah,Madmaná,Madmanna,Madmana
2731,מַדְמֵנָה,PN,settlement,Madmenah,Madmená,Madména,Madmena
2732,מְדָן,PN,person,Medan,Medán,Medân,Medan
2733,מְהוּמָן,PN,person,Mehuman,Mehumán,Mehoumân,Mehuman
2734,מְהֵיטַבְאֵל-1,PN,person,Mehetabel,Mehetabel,Mehétavéel,Mehetabeel
2735,מְהֵיטַבְאֵל-2,PN,person,Mehetabel,Mehetabel,Mehétavéel,Mehetabeel
2736,מַהֲלַלְאֵל-1,PN,person,Mahalalel,Mahalalel,Mahalalel,Mahalaleel
2737,מַהֲלַלְאֵל-2,PN,person,Mahalalel,Mahalalel,Mahalalel,Mahalaleel
2738,מַהֵר שָׁלָל חַשׁ בַּז,PN,person,Maher-Shalal-Hash-Baz,Maher-salal-hasbaz,Maher — Shalal — Hash — Baz — A Prompt — Butin — Proche — Pillage,Maher-Syalal
2739,מַהְרַי,PN,person,Maharai,Maharai,Mahraï,Maharai
2740,מוֹאָב,PN,person,Moab,Moab,Moab,Moab
2741,מוֹאָבִי,PN,group,Moabite,Moabitas,Moabite,Moab
2742,מוֹט,RE,control /  animal husbandry,yoke,barra del yugo,poteau en bois pour porter les objets lourds,kuk
2743,מוֹטָה,RE,control /  animal husbandry,yoke,yugo,joug,kuk
2744,מול-1,RI,covenant /  religious activities,to circumsize / circumcision,,,menyunat / disunat
2745,מול-2,RI,covenant /  religious activities,to circumsize > to commit oneself,,,menyunat
2746,מול-3,MI,"violence, harm, destroy, kill",to cause to be circumsized / to cut off,,,pukul mundur / kalahkan
2747,מוֹלָדָה,PN,settlement,Moladah,Moladá,Molada,Molada
2748,מוֹלֶדֶת,BE,people /  kinship,offspring / family,parentela / nacimiento,progéniture / famille,sanak saudara / kaum keluarga
2749,מוּלָה,RI,covenant /  religious activities,circumcision,,,penyunatan
2750,מוֹלִיד,PN,person,Molid,Molid,Molid,Molid
2751,מוֹסֵרָה,PN,locale,Moserah,Moserot,Mosséroth / Mosséra,Moserot
2752,מוֹעֵד,RI,festivals,appointed feast,reunión / fiesta,fête déterminée / Tente de la rencontre,hari raya yang ditetapkan
2753,מוֹעַדְיָה,PN,person,Moadiah,Moadías,Moadya,Moaja
2754,מוֹפֵת-1,MI,signs and wonders,example / symbol / sign,señal,exemple / symbole / signe,tanda / teladan / lambang
2755,מוֹפֵת-2,MI,?,miracle / wonder,maravilla,miracle / merveille,keajaiban / mujizat
2756,מוֹצָא-1,PN,person,Moza,Mosá,Moça,Moza
2757,מוֹצָא-2,PN,person,Moza,Mosá,Moça,Moza
2758,מוֹקֵשׁ,RE,tools /  hunting and fishing,trap,cebo / trampa,piège,jerat / perangkap
2759,מוֹרָא,AT,attitudes and emotions /  morals and ethics /  worship,fear / awe,temor / hecho aterrador,crainte / respect,takut / dahsyat / kagum
2760,מוֹרַג,RE,agriculture,threshing-sledge,instrumento para trillar / trillo,traîneau de battage,pengirik
2761,מוֹרָה,RE,tools /  body,razor,navaja,rasoir,pisau cukur
2762,מוֹרֶה-1,PN,person /  area,Moreh,Moré,Moré,More
2763,מוֹרֶה-2,PN,nature,Moreh,Moré,Moré,bukit More
2764,מוֹרֶשֶׁת גַּת,PN,settlement,Moresheth-Gath,Moréset-gat,Morèsheth-Gath,Moresyet-Gat
2765,מוֹרַשְׁתִּי,PN,group,of Moresheth,Moréset,de Morèsheth,orang Moresyet
2766,מוּשִׁי-1,PN,person,Mushi,Musí,Moushi,Musi
2767,מוּשִׁי-2,PN,group,Mushite,Musita,Moushite,Musi
2768,מוֹשִׁיעַ,MI,"help, protect, save",salvation / rescuer,salvacion,salut / sauveur,pertolongan / keselamatan / penyelamat
2769,מִזְבַּח הָעֹלָה,RE,sacrifices and offerings,altar of burnt offering,altar del holocausto / altar de las ofrendas quemadas,l'autel de l'holocauste,mezbah korban bakaran
2770,מִזָּה,PN,person,Mizzah,Mizá,Mizza,Miza
2771,מָזוֹר,RE,tools /  hunting and fishing,trap,emboscada / trampa,ulcère,jerat / perangkap
2772,מַזְכִּיר,BE,people /  occupations /  writing /  communication /  authority,recorder / chronicler,secretario / cronista,enregistreur / chroniqueur,bendahara / perekam / penulis sejarah
2773,מְזִמָּה-1,AT,"wisdom, understanding",discretion,discreción / reflexión,discrétion,kebijaksanaan
2774,מְזִמָּה-2,AT,"wisdom, understanding; morals and ethics",plan / purpose / device / scheme,propósito / intriga,réflexion / pensée / plan,rencana / tipu muslihat / tipu daya
2775,מִזְמוֹר,MI,music and dance,psalm,salmo,psaume,mazmur
2776,מַזְמֵרָה,RE,agriculture,pruning knife,podadera,serpette,pisau pemangkasan
2777,מִזְרֶה,RE,agriculture,winnowing fork,bieldo,van,garpu menampi
2778,מחה-1,AT,"atone, forgive",forgive,borrar,atteindre / essuyer,mengampuni
2779,מחה-2,AT,"violence, harm, destroy, kill",destroy,borrar,atteindre / essuyer,menghancurkan
2780,מְחוּגָה,RE,tools /  crafts,compass,compás,boussoles / compas,jangka
2781,מְחוּיָאֵל,PN,person,Mehujael,Mehujael,Mehouyaël,Mehuyael
2782,מַחֲוִים,PN,group,Mahavite,Mahavita,Mahawim,orang Mahawim
2783,מָחוֹל-1,MI,music and dance,round dance,danza,danse en rond,tarian bulat
2784,מָחוֹל-2,PN,person,Mahol,Mahol,Mahol,Mahol
2785,מַחֲזִיאוֹת,PN,person,Mahazioth,Mahaziot,Mahazioth,Mahaziot
2786,מְחִידָא,PN,person,Mehida,Mehidá,Mehida,Mehida
2787,מְחִיר,PN,person,Mehir,Mehír,Mehir,Mehir
2788,מַחֲלָב,PN,locale,Mahalab,Mahaleb,Mahalèv,Mahalab
2789,מַחְלָה-1,PN,person,Mahlah,Mahlá,Mahla,Mahla
2790,מַחְלָה-2,PN,person,Mahlah,Mahlá,Mahla,Mahla
2791,מַחְלוֹן,PN,person,Mahlon,Mahlón,Mahlôn,Mahlon
2792,מַחְלִי-1,PN,person,Mahli,Mahli,Mahli,Mahli
2793,מַחְלִי-2,PN,person,Mahli,Mahli,Mahli,Mahli
2794,מַחְלִי-3,PN,group,Mahlite,Mahlita,Mahlite,Mahli
2795,מָחֲלַת-1,PN,person,Mahalath,Majalat / Mahalat,Mahalath,Mahalat
2796,מָחֲלַת-2,PN,person,Mahalath,Majalat / Mahalat,Mahalath,Mahalat
2797,מְחֹלָתִי,PN,group,Meholathite,Meholatita,Mehola,orang Meholah
2798,מַחֲנַיִם,PN,settlement,Mahanaim,Mahanaim,Mahanaïm,Mahanaim
2799,מַחְסֶה,AT,"help, protect, save; security",refuge / shelter,refugio / guarida / defensa,refuge / abri,tempat perlindungan
2800,מַחְסוֹם,RE,control /  animal husbandry /  communication,muzzle,mordaza,muselière,kekang
2801,מַחְסֵיָה,PN,person,Mahseiah,Maaseías,Mahséya,Mahseya
2802,מַחֲרֵשָׁה,RE,agriculture,plowshare or mattock,reja del arado,soc,mata bajak
2803,מַחַת-1,PN,person,Mahath,Máhat,Mahath,Mahat
2804,מַחַת-2,PN,person,Mahath,Máhat,Mahath,Mahat
2805,מַחַת-3,PN,person,Mahath,Máhat,Mahath,Mahat
2806,מַטֶּה,BE,people /  association /  groups,tribe,tribu,branche / brindille,suku
2807,מַטְרֵד,PN,person,Matred,Matred,Matred,Matred
2808,מַטְרִי,PN,group,Matrite,Matrí,Matri,orang Matri
2809,מֵי זָהָב,PN,person,Mezahab,Mezaab,Mê-Zahav,Mezahab
2810,מֵידְבָא,PN,settlement,Medeba,Medebá,Madaba,Medeba
2811,מֵידָד,PN,person,Medad,Medad,Médad,Medad
2812,מִיכָא-1,PN,person,Mica,Micaías,Mika,Mikha
2813,מִיכָא-2,PN,person,Mica,Micaías,Mika,Mikha
2814,מִיכָא-3,PN,person,Mica,Micaías,Mika,Mikha
2815,מִיכָאֵל-1,PN,person,Michael,Micael,Mikaël,Mikhael
2816,מִיכָאֵל-2,PN,person,Michael,Micael,Mikaël,Mikhael
2817,מִיכָאֵל-3,PN,supernatural beings and powers,Michael,Miguel,Michel,Mikhael
2818,מִיכָאֵל-4,PN,person,Michael,Micael,Mikaël,Mikhael
2819,מִיכָאֵל-5,PN,person,Michael,Micael,Mikaël,Mikhael
2820,מִיכָאֵל-6,PN,person,Michael,Micael,Mikaël,Mikhael
2821,מִיכָאֵל-7,PN,person,Michael,Micael,Mikaël,Mikhael
2822,מִיכָאֵל-8,PN,person,Michael,Micael,Mikaël,Mikhael
2823,מִיכָאֵל-9,PN,person,Michael,Micael,Mikaël,Mikhael
2824,מִיכָאֵל-10,PN,person,Michael,Micael,Mikaël,Mikhael
2825,מִיכָה-1,PN,person,Micah,Micaías,Mika,Mikha
2826,מִיכָה-2,PN,person,Micah,Micaías,Mika,Mikha
2827,מִיכָה-3,PN,person,Micah,Micaías,Mika,Mikha
2828,מִיכָה-4,PN,person,Micah,Micaías,Mika,Mikha
2829,מִיכָה-5,PN,person,Micah,Micaías,Michée,Mikha
2830,מִיכָה-6,PN,person,Micah,Micaías,Mika,Mikha
2831,מִיכָה-7,PN,person,Micah,Miqueas,Michée,Mikha
2832,מִיכָיָה-1,PN,person,Micaiah,Micaías,Mikaya,Mikha
2833,מִיכָיָה-2,PN,person,Micaiah,Micaías,Mikaya,Mikha
2834,מִיכָיָהוּ-1,PN,person,Micaiah,Micaías,Mikayahou,Mikha
2835,מִיכָיָהוּ-2,PN,person,Micaiah,Micaías,Mikayahou,Mikha
2836,מִיכָיְהוּ-1,PN,person,Micah / Micaiah,Micaías,Mikayehou,Mikha
2837,מִיכָיְהוּ-2,PN,person,Micah / Micaiah,Micaías,Michée,Mikaya
2838,מִיכָיְהוּ-3,PN,person,Micah / Micaiah,Micaías,Mikayehou,Mikaya
2839,מִיכַל,PN,person,Michal,Mical,Mikal,Mikhal
2840,מִיָּמִין-1,PN,person,Mijamin,Mijamín,Miyamîn,Miyamin
2841,מִיָּמִין-2,PN,person,Mijamin,Mijamín,Miyamîn,Miyamin
2842,מִיָּמִין-3,PN,person,Mijamin,Mijamín,Miyamîn,Miyamin
2843,מִין,MI,?,kind / sort,clase / tipo,sorte / espèces,jenis
2844,מֵיפַעַת,PN,settlement,Mephaath,Mefáat,Méfaath,Mefaat
2845,מֵישָׁא,PN,person,Mesha,Mesá,Mésha,Mesa
2846,מִישָׁאֵל-1,PN,person,Mishael,Misael,Mishaël,Misael
2847,מִישָׁאֵל-2,PN,person,Mishael,Misael,Mishaël,Misael
2848,מִישָׁאֵל-3,PN,person,Mishael,Misael,Mishaël,Misael
2849,מִישָׁאֵל-4 (AR),PN,person,Mishael,Misael,Mishaël,Misael
2850,מִישׁוֹר,AT,morals and ethics,fairness,rectitud,niveau / plaine,keadilan / kebenaran / kejujuran / keikhlasan
2851,מֵישַׁךְ (AR),PN,person,Meshach,Mesac,Méshak,Mesakh
2852,מֵישַׁךְ,PN,person,Meshach,Mesac,Méshak,Mesakh
2853,מֵישַׁע,PN,person,Mesha,Mesá,Mésha,Mesa
2854,מֵישָׁע,PN,person,Mesha,Mesá,Mésha,Mesa
2855,מֵישָׁרִים,AT,morals and ethics,fairness,rectitud / equidad,droiture,keadilan / kebenaran / kejujuran / keikhlasan
2856,מַכְבֵּנָה,PN,settlement,Machbenah,Macbená,Makbéna,Makhbena
2857,מַכְבַּנַּי,PN,person,Machbannai,Macbanai,Makbannaï,Makhbanai
2858,מָכִי,PN,person,Machi,Maquí,Maki,Makhi
2859,מָכִיר-1,PN,person,Machir,Maquir,Makir,Makhir
2860,מָכִיר-2,PN,person,Machir,Maquir,Makir,Makhir
2861,מָכִירִי,PN,person,Machirite,Maquir,Makirite,Makhir
2862,מִכְלָא,RE,constructions /  animal husbandry,sheep pen / sheepfold,corral / aprisco,bergerie / parc,kandang
2863,מִכְמָר,RE,tools /  hunting and fishing,net,red,filet / piège,jaring / jala / jerat
2864,מִכְמֶרֶת,RE,tools /  hunting and fishing,casting net,red,filet,jala / pukat
2865,מִכְמָשׂ,PN,settlement,Michmash,Micmás,Mikmas,Mikhmas
2866,מִכְמְתָת,PN,settlement,Michmethath,Micmetat,Mikmetath,Mikhmetat
2867,מַכְנַדְבַּי,PN,person,Machnadebai,Macnadbai,Maknadevaï,Makhnadbai
2868,מְכֹנָה,PN,locale,Meconah,Mecona,Mekona,Mekhona
2869,מַכְפֵּלָה,PN,nature,Machpelah,Macpelá,Makpéla,gua Makhpelah
2870,מִכְרִי,PN,person,Michri,Micrí,Mikri,Mikhri
2871,מְכֵרָתִי,PN,group,Mecherathite,Mequeratita,Mekératite,orang Mekherati
2872,מַכְתֵּשׁ,PN,constructions,the Mortar,Mortero,ville basse,perkampuang Lumpang / kota bagian bawah
2873,מַלְאָכִי,PN,person,Malachi,Malaquías,Malachie,Maleakhi
2874,מַלְבֵּן,RE,tools /  construction,brick mold / brick kiln,molde de ladrillos / patio de ladrillos,four à briques / terrasse de briques,cetakan bata / tempat pembakaran bata
2875,מִלּוּאִים,RI,priesthood,installation of a priest,consagración sacerdotal,installation d'un prêtre,pentahbisan seorang imam
2876,מַלּוּחַ,FL,plants,saltbush / saltwort / mallow,malva / armuelle achaparrado,mauve,garam asin / gelang laut / belukar
2877,מַלּוּךְ-1,PN,person,Malluch,Maluc,Mallouk,Malukh
2878,מַלּוּךְ-2,PN,person,Malluch,Maluc,Mallouk,Malukh
2879,מַלּוּךְ-3,PN,person,Malluch,Maluc,Mallouk,Malukh
2880,מַלּוֹתִי,PN,person,Mallothi,Malotí,Malloti,Maloti
2881,מְלַטְיָה,PN,person,Melatiah,Melatías,Melatya,Melaca
2882,מְלִיכִי,PN,person,Malluchi,Melicú,Melikou,Melukhi
2883,מֶלֶךְ-1,BE,people /  authority,king,rey,roi,raja
2884,מֶלֶךְ-2,PN,person,Melech,Mélec,Mèlek,Melekh
2885,מֹלֶךְ,PN,supernatural beings and powers,Molech,Moloc,Molek / Milkom,Molokh
2886,מַלְכֹּדֶת,RE,tools /  hunting and fishing,trap,trampa,piège,jerat / perangkap
2887,מַלְכָּה,BE,people /  authority,queen,reina,reine,ratu
2888,מִלְכָּה-1,PN,person,Milcah,Milcá,Milka,Milka
2889,מִלְכָּה-2,PN,person,Milcah,Milcá,Milka,Milka
2890,מַלְכִּי־צֶדֶק,PN,person,Melchizedek,Melquisedec,Melkisédeq,Melkizedek
2891,מַלְכִּי־שׁוּעַ,PN,person,Malchi-Shua,Malquisúa,Malki-Shoua,Malkisua
2892,מַלְכִּיאֵל,PN,person,Malchiel,Malquiel,Malkiël,Malkiel
2893,מַלְכִּיאֵלִי,PN,group,Malchielite,Malquiel,Malkiélites,Malkiel
2894,מַלְכִּיָּה-1,PN,person,Malchijah,Malquías,Malkiya,Malkia
2895,מַלְכִּיָּה-2,PN,person,Malchijah,Malquías,Malkiya,Malkia
2896,מַלְכִּיָּה-3,PN,person,Malchijah,Malquías,Malkiya,Malkia
2897,מַלְכִּיָּה-4,PN,person,Malchijah,Malquías,Malkiya,Malkia
2898,מַלְכִּיָּה-5,PN,person,Malchijah,Malquías,Malkiya,Malkia
2899,מַלְכִּיָּה-6,PN,person,Malchijah,Malquías,Malkiya,Malkia
2900,מַלְכִּיָּה-7,PN,person,Malchijah,Malquías,Malkiya,Malkia
2901,מַלְכִּיָּה-8,PN,person,Malchijah,Malquías,Malkiya,Malkia
2902,מַלְכִּיָּהוּ,PN,person,Malchijah,Malquías,Malkiya,Malkia
2903,מַלְכִּירָם,PN,person,Malchiram,Malquiram,Malkiram,Malkhiram
2904,מַלְכָּם,PN,person,Malcam,Malcam,Malkam,Malkam
2905,מִלְכֹּם,PN,supernatural beings and powers,Milcom,Milcom,Milkom,Milkom
2906,מְלֶכֶת הַשָּׁמַיִם,PN,supernatural beings and powers,Queen of Heaven,Reina del cielo,Reine du ciel,Ratu Surga
2907,מִלֲלַי,PN,person,Milalai,Milalai,Milalaï,Milalai
2908,מַלְמַד,RE,control /  animal husbandry,goad,aguijada de buey,aiguillon de boeuf,tongkat menggiring
2909,מְמוּכָן,PN,person,Memucan,Memucán,Memoukân,Memukan
2910,מַמְרֵא-1,PN,person,Mamre,Mamré,Mamré,Mamre
2911,מַמְרֵא-2,PN,locale,Mamre,Mamré,Mamré,Mamre
2912,מָנוֹחַ,PN,person,Manoah,Manoa,Manoah,Manoah
2913,מְנוֹר אֹרְגִים,RE,crafts,weaver's beam,rodillo,ensouple,alat tenun / pesa tukang tenun
2914,מִנְחָה,RI,sacrifices and offerings,gift / tribute / offering / grain-offering,ofrenda / regalo / tributo,don,persembahan / hadiah / upeti
2915,מְנֻחוֹת,PN,group,Menuhoth,Manahetitas,Manahtites,orang Menuhot
2916,מְנַחֵם,PN,person,Menahem,Menahem,Menahem,Menahem
2917,מָנַחַת-1,PN,person,Manahath,Manáhat,Manahath,Manahat
2918,מָנַחַת-2,PN,settlement,Manahath,Manáhat,Manahath,Manahat
2919,מָנַחְתִּי,PN,group,Manahathite,Manahetitas,Manahtites,orang Manahti
2920,מִנִּי,PN,area /  group,Minni,Miní,Minni,Mini
2921,מִנְיָמִן-1,PN,person,Miniamin,Miniamín,Minyamîn,Minyamin
2922,מִנְיָמִן-2,PN,group,Miniamin,Miniamín,Minyamîn,Minyamin
2923,מִנְיָמִן-3,PN,person,Miniamin,Miniamín,Minyamîn,Minyamin
2924,מִנִּית,PN,locale,Minnith,Minit,Minnith,Minit
2925,מְנַשֶּׁה-1,PN,person,Manasseh,Manasés,Manassé,Manasye
2926,מְנַשֶּׁה-2,PN,person,Manasseh,Manasés,Manassé,Manasye
2927,מְנַשֶּׁה-3,PN,person,Manasseh,Manasés,Manassé,Manasye
2928,מְנַשֶּׁה-4,PN,person,Manasseh,Manasés,Manassé,Manasye
2929,מְנַשִּׁי,PN,group,Manassite,Manasesita,de Manassé,orang Manasye
2930,מַסָּה,PN,locale,Massah,Masá,Massa,Masa
2931,מְסוּכָה,FL,weeds and thorns,thorn hedge,espina / cardo,épine / chardon / bruyère,pagar duri
2932,מַסְמֵר,RE,tools /  crafts,nail,clavo,ongle,paku
2933,מִסְפָּר,PN,person,Mispar,Mispar,Mispar,Mispar
2934,מֹסֵרוֹת,PN,locale,Moseroth,Moserot,Mosséroth,Moserot
2935,מַעֲדַי,PN,person,Maadai,Madai,Maadaï,Maadai
2936,מַעַדְיָה,PN,person,Maadiah,Maadías,Maadya,Maaja
2937,מַעְדֵּר,RE,agriculture,hoe,azadón,houe / sarcloir,cangkul
2938,מָעוֹז,RE,buildings,fortress / refuge,lugar de refugio,forteresse / refuge,benteng / tempat berlindung
2939,מָעוֹךְ,PN,person,Maoch,Maoc,Maok,Maokh
2940,מָעוֹן-1,PN,locale,Maon,Maón,Maôn,Maon
2941,מָעוֹן-2,PN,group,Maon,Maón,Méoun,orang Maon
2942,מָעוֹן-3,PN,person,Maon,Maón,Maôn,Maon
2943,מְעוּנִים-1,PN,group,Meunites / Meunim,Meunita,Meounim / Méounite,orang Meunim
2944,מְעוּנִים-2,PN,group,Meunites / Meunim,Meunim,Méounim,Meunim
2945,מְעוֹנֹתַי,PN,person,Meonothai,Meonotai,Méonotaï,Meonotai
2946,מַעַזְיָה,PN,person,Maaziah,Maazías,Maazya,Maazya
