vref,target,reference
EXO 34:15,"Lest thou make a covenant with the inhabitants of the land, and they go a whoring after their gods, and do sacrifice unto their gods, and one call thee, and thou eat of his sacrifice;","Lest thou make a covenant with the inhabitants of the land, and they go a whoring after their gods, and do sacrifice unto their gods, and one call thee, and thou eat of his sacrifice;"
EXO 34:16,"And thou take of their daughters unto thy sons, and their daughters go a whoring after their gods, and make thy sons go a whoring after their gods.","And thou take of their daughters unto thy sons, and their daughters go a whoring after their gods, and make thy sons go a whoring after their gods."
EXO 34:17,Thou shalt make thee no molten gods.,Thou shalt make thee no molten gods.
EXO 34:18,"¶ The feast of unleavened bread shalt thou keep. Seven days thou shalt eat unleavened bread, as I commanded thee, in the time of the month Abib: for in the month Abib thou camest out from Egypt.","¶ The feast of unleavened bread shalt thou keep. Seven days thou shalt eat unleavened bread, as I commanded thee, in the time of the month Abib: for in the month Abib thou camest out from Egypt."
EXO 34:19,"All that openeth the matrix is mine; and every firstling among thy cattle, whether ox or sheep, that is male.","All that openeth the matrix is mine; and every firstling among thy cattle, whether ox or sheep, that is male."
EXO 34:20,"But the firstling of an ass thou shalt redeem with a lamb: and if thou redeem him not, then shalt thou break his neck. All the firstborn of thy sons thou shalt redeem. And none shall appear before me empty.","But the firstling of an ass thou shalt redeem with a lamb: and if thou redeem him not, then shalt thou break his neck. All the firstborn of thy sons thou shalt redeem. And none shall appear before me empty."
EXO 34:21,"¶ Six days thou shalt work, but on the seventh day thou shalt rest: in earing time and in harvest thou shalt rest.","¶ Six days thou shalt work, but on the seventh day thou shalt rest: in earing time and in harvest thou shalt rest."
EXO 34:22,"¶ And thou shalt observe the feast of weeks, of the firstfruits of wheat harvest, and the feast of ingathering at the year’s end.","¶ And thou shalt observe the feast of weeks, of the firstfruits of wheat harvest, and the feast of ingathering at the year’s end."
EXO 34:23,"¶ Thrice in the year shall all your men children appear before the Lord GOD, the God of Israel.","¶ Thrice in the year shall all your men children appear before the Lord GOD, the God of Israel."
EXO 34:24,"For I will cast out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God thrice in the year.","For I will cast out the nations before thee, and enlarge thy borders: neither shall any man desire thy land, when thou shalt go up to appear before the LORD thy God thrice in the year."
EXO 34:25,Thou shalt not offer the blood of my sacrifice with leaven; neither shall the sacrifice of the feast of the passover be left unto the morning.,Thou shalt not offer the blood of my sacrifice with leaven; neither shall the sacrifice of the feast of the passover be left unto the morning.
EXO 34:26,The first of the firstfruits of thy land thou shalt bring unto the house of the LORD thy God. Thou shalt not seethe a kid in his mother’s milk.,The first of the firstfruits of thy land thou shalt bring unto the house of the LORD thy God. Thou shalt not seethe a kid in his mother’s milk.
EXO 34:27,"And the LORD said unto Moses, Write thou these words: for after the tenor of these words I have made a covenant with thee and with Israel.","And the LORD said unto Moses, Write thou these words: for after the tenor of these words I have made a covenant with thee and with Israel."
EXO 34:28,"And he was there with the LORD forty days and forty nights; he did neither eat bread, nor drink water. And he wrote upon the tables the words of the covenant, the ten commandments.","And he was there with the LORD forty days and forty nights; he did neither eat bread, nor drink water. And he wrote upon the tables the words of the covenant, the ten commandments."
EXO 34:29,"¶ And it came to pass, when Moses came down from mount Sinai with the two tables of testimony in Moses’ hand, when he came down from the mount, that Moses wist not that the skin of his face shone while he talked with him.","¶ And it came to pass, when Moses came down from mount Sinai with the two tables of testimony in Moses’ hand, when he came down from the mount, that Moses wist not that the skin of his face shone while he talked with him."
EXO 34:30,"And when Aaron and all the children of Israel saw Moses, behold, the skin of his face shone; and they were afraid to come nigh him.","And when Aaron and all the children of Israel saw Moses, behold, the skin of his face shone; and they were afraid to come nigh him."
EXO 34:31,And Moses called unto them; and Aaron and all the rulers of the congregation returned unto him: and Moses talked with them.,And Moses called unto them; and Aaron and all the rulers of the congregation returned unto him: and Moses talked with them.
EXO 34:32,And afterward all the children of Israel came nigh: and he gave them in commandment all that the LORD had spoken with him in mount Sinai.,And afterward all the children of Israel came nigh: and he gave them in commandment all that the LORD had spoken with him in mount Sinai.
EXO 34:33,"And till Moses had done speaking with them, he put a vail on his face.","And till Moses had done speaking with them, he put a vail on his face."
EXO 34:34,"But when Moses went in before the LORD to speak with him, he took the vail off, until he came out. And he came out, and spake unto the children of Israel that which he was commanded.","But when Moses went in before the LORD to speak with him, he took the vail off, until he came out. And he came out, and spake unto the children of Israel that which he was commanded."
EXO 34:35,"And the children of Israel saw the face of Moses, that the skin of Moses’ face shone: and Moses put the vail upon his face again, until he went in to speak with him.","And the children of Israel saw the face of Moses, that the skin of Moses’ face shone: and Moses put the vail upon his face again, until he went in to speak with him."
EXO 35:1,"And Moses gathered all the congregation of the children of Israel together, and said unto them, These are the words which the LORD hath commanded, that ye should do them.","And Moses gathered all the congregation of the children of Israel together, and said unto them, These are the words which the LORD hath commanded, that ye should do them."
EXO 35:2,"Six days shall work be done, but on the seventh day there shall be to you an holy day, a sabbath of rest to the LORD: whosoever doeth work therein shall be put to death.","Six days shall work be done, but on the seventh day there shall be to you an holy day, a sabbath of rest to the LORD: whosoever doeth work therein shall be put to death."
EXO 35:3,Ye shall kindle no fire throughout your habitations upon the sabbath day.,Ye shall kindle no fire throughout your habitations upon the sabbath day.
EXO 35:4,"¶ And Moses spake unto all the congregation of the children of Israel, saying, This is the thing which the LORD commanded, saying,","¶ And Moses spake unto all the congregation of the children of Israel, saying, This is the thing which the LORD commanded, saying,"
EXO 35:5,"Take ye from among you an offering unto the LORD: whosoever is of a willing heart, let him bring it, an offering of the LORD; gold, and silver, and brass,","Take ye from among you an offering unto the LORD: whosoever is of a willing heart, let him bring it, an offering of the LORD; gold, and silver, and brass,"
EXO 35:6,"And blue, and purple, and scarlet, and fine linen, and goats’ hair,","And blue, and purple, and scarlet, and fine linen, and goats’ hair,"
EXO 35:7,"And rams’ skins dyed red, and badgers’ skins, and shittim wood,","And rams’ skins dyed red, and badgers’ skins, and shittim wood,"
EXO 35:8,"And oil for the light, and spices for anointing oil, and for the sweet incense,","And oil for the light, and spices for anointing oil, and for the sweet incense,"
EXO 35:9,"And onyx stones, and stones to be set for the ephod, and for the breastplate.","And onyx stones, and stones to be set for the ephod, and for the breastplate."
EXO 35:10,"And every wise hearted among you shall come, and make all that the LORD hath commanded;","And every wise hearted among you shall come, and make all that the LORD hath commanded;"
EXO 35:11,"The tabernacle, his tent, and his covering, his taches, and his boards, his bars, his pillars, and his sockets,","The tabernacle, his tent, and his covering, his taches, and his boards, his bars, his pillars, and his sockets,"
EXO 35:12,"The ark, and the staves thereof, with the mercy seat, and the vail of the covering,","The ark, and the staves thereof, with the mercy seat, and the vail of the covering,"
EXO 35:13,"The table, and his staves, and all his vessels, and the shewbread,","The table, and his staves, and all his vessels, and the shewbread,"
EXO 35:14,"The candlestick also for the light, and his furniture, and his lamps, with the oil for the light,","The candlestick also for the light, and his furniture, and his lamps, with the oil for the light,"
EXO 35:15,"And the incense altar, and his staves, and the anointing oil, and the sweet incense, and the hanging for the door at the entering in of the tabernacle,","And the incense altar, and his staves, and the anointing oil, and the sweet incense, and the hanging for the door at the entering in of the tabernacle,"
EXO 35:16,"The altar of burnt offering, with his brasen grate, his staves, and all his vessels, the laver and his foot,","The altar of burnt offering, with his brasen grate, his staves, and all his vessels, the laver and his foot,"
EXO 35:17,"The hangings of the court, his pillars, and their sockets, and the hanging for the door of the court,","The hangings of the court, his pillars, and their sockets, and the hanging for the door of the court,"
EXO 35:18,"The pins of the tabernacle, and the pins of the court, and their cords,","The pins of the tabernacle, and the pins of the court, and their cords,"
EXO 35:19,"The cloths of service, to do service in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest’s office.","The cloths of service, to do service in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest’s office."
EXO 35:20,¶ And all the congregation of the children of Israel departed from the presence of Moses.,¶ And all the congregation of the children of Israel departed from the presence of Moses.
EXO 35:21,"And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and they brought the LORD’s offering to the work of the tabernacle of the congregation, and for all his service, and for the holy garments.","And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and they brought the LORD’s offering to the work of the tabernacle of the congregation, and for all his service, and for the holy garments."
EXO 35:22,"And they came, both men and women, as many as were willing hearted, and brought bracelets, and earrings, and rings, and tablets, all jewels of gold: and every man that offered offered an offering of gold unto the LORD.","And they came, both men and women, as many as were willing hearted, and brought bracelets, and earrings, and rings, and tablets, all jewels of gold: and every man that offered offered an offering of gold unto the LORD."
EXO 35:23,"And every man, with whom was found blue, and purple, and scarlet, and fine linen, and goats’ hair, and red skins of rams, and badgers’ skins, brought them.","And every man, with whom was found blue, and purple, and scarlet, and fine linen, and goats’ hair, and red skins of rams, and badgers’ skins, brought them."
EXO 35:24,"Every one that did offer an offering of silver and brass brought the LORD’s offering: and every man, with whom was found shittim wood for any work of the service, brought it.","Every one that did offer an offering of silver and brass brought the LORD’s offering: and every man, with whom was found shittim wood for any work of the service, brought it."
EXO 35:25,"And all the women that were wise hearted did spin with their hands, and brought that which they had spun, both of blue, and of purple, and of scarlet, and of fine linen.","And all the women that were wise hearted did spin with their hands, and brought that which they had spun, both of blue, and of purple, and of scarlet, and of fine linen."
EXO 35:26,And all the women whose heart stirred them up in wisdom spun goats’ hair.,And all the women whose heart stirred them up in wisdom spun goats’ hair.
EXO 35:27,"And the rulers brought onyx stones, and stones to be set, for the ephod, and for the breastplate;","And the rulers brought onyx stones, and stones to be set, for the ephod, and for the breastplate;"
EXO 35:28,"And spice, and oil for the light, and for the anointing oil, and for the sweet incense.","And spice, and oil for the light, and for the anointing oil, and for the sweet incense."
EXO 35:29,"The children of Israel brought a willing offering unto the LORD, every man and woman, whose heart made them willing to bring for all manner of work, which the LORD had commanded to be made by the hand of Moses.","The children of Israel brought a willing offering unto the LORD, every man and woman, whose heart made them willing to bring for all manner of work, which the LORD had commanded to be made by the hand of Moses."
EXO 35:30,"¶ And Moses said unto the children of Israel, See, the LORD hath called by name Bezaleel the son of Uri, the son of Hur, of the tribe of Judah;","¶ And Moses said unto the children of Israel, See, the LORD hath called by name Bezaleel the son of Uri, the son of Hur, of the tribe of Judah;"
EXO 35:31,"And he hath filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship;","And he hath filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship;"
EXO 35:32,"And to devise curious works, to work in gold, and in silver, and in brass,","And to devise curious works, to work in gold, and in silver, and in brass,"
EXO 35:33,"And in the cutting of stones, to set them, and in carving of wood, to make any manner of cunning work.","And in the cutting of stones, to set them, and in carving of wood, to make any manner of cunning work."
EXO 35:34,"And he hath put in his heart that he may teach, both he, and Aholiab, the son of Ahisamach, of the tribe of Dan.","And he hath put in his heart that he may teach, both he, and Aholiab, the son of Ahisamach, of the tribe of Dan."
EXO 35:35,"Them hath he filled with wisdom of heart, to work all manner of work, of the engraver, and of the cunning workman, and of the embroiderer, in blue, and in purple, in scarlet, and in fine linen, and of the weaver, even of them that do any work, and of those that devise cunning work.","Them hath he filled with wisdom of heart, to work all manner of work, of the engraver, and of the cunning workman, and of the embroiderer, in blue, and in purple, in scarlet, and in fine linen, and of the weaver, even of them that do any work, and of those that devise cunning work."
EXO 36:1,"Then wrought Bezaleel and Aholiab, and every wise hearted man, in whom the LORD put wisdom and understanding to know how to work all manner of work for the service of the sanctuary, according to all that the LORD had commanded.","Then wrought Bezaleel and Aholiab, and every wise hearted man, in whom the LORD put wisdom and understanding to know how to work all manner of work for the service of the sanctuary, according to all that the LORD had commanded."
EXO 36:2,"And Moses called Bezaleel and Aholiab, and every wise hearted man, in whose heart the LORD had put wisdom, even every one whose heart stirred him up to come unto the work to do it:","And Moses called Bezaleel and Aholiab, and every wise hearted man, in whose heart the LORD had put wisdom, even every one whose heart stirred him up to come unto the work to do it:"
EXO 36:3,"And they received of Moses all the offering, which the children of Israel had brought for the work of the service of the sanctuary, to make it withal. And they brought yet unto him free offerings every morning.","And they received of Moses all the offering, which the children of Israel had brought for the work of the service of the sanctuary, to make it withal. And they brought yet unto him free offerings every morning."
EXO 36:4,"And all the wise men, that wrought all the work of the sanctuary, came every man from his work which they made;","And all the wise men, that wrought all the work of the sanctuary, came every man from his work which they made;"
EXO 36:5,"¶ And they spake unto Moses, saying, The people bring much more than enough for the service of the work, which the LORD commanded to make.","¶ And they spake unto Moses, saying, The people bring much more than enough for the service of the work, which the LORD commanded to make."
EXO 36:6,"And Moses gave commandment, and they caused it to be proclaimed throughout the camp, saying, Let neither man nor woman make any more work for the offering of the sanctuary. So the people were restrained from bringing.","And Moses gave commandment, and they caused it to be proclaimed throughout the camp, saying, Let neither man nor woman make any more work for the offering of the sanctuary. So the people were restrained from bringing."
EXO 36:7,"For the stuff they had was sufficient for all the work to make it, and too much.","For the stuff they had was sufficient for all the work to make it, and too much."
EXO 36:8,"¶ And every wise hearted man among them that wrought the work of the tabernacle made ten curtains of fine twined linen, and blue, and purple, and scarlet: with cherubims of cunning work made he them.","¶ And every wise hearted man among them that wrought the work of the tabernacle made ten curtains of fine twined linen, and blue, and purple, and scarlet: with cherubims of cunning work made he them."
EXO 36:9,"The length of one curtain was twenty and eight cubits, and the breadth of one curtain four cubits: the curtains were all of one size.","The length of one curtain was twenty and eight cubits, and the breadth of one curtain four cubits: the curtains were all of one size."
EXO 36:10,And he coupled the five curtains one unto another: and the other five curtains he coupled one unto another.,And he coupled the five curtains one unto another: and the other five curtains he coupled one unto another.
EXO 36:11,"And he made loops of blue on the edge of one curtain from the selvedge in the coupling: likewise he made in the uttermost side of another curtain, in the coupling of the second.","And he made loops of blue on the edge of one curtain from the selvedge in the coupling: likewise he made in the uttermost side of another curtain, in the coupling of the second."
EXO 36:12,"Fifty loops made he in one curtain, and fifty loops made he in the edge of the curtain which was in the coupling of the second: the loops held one curtain to another.","Fifty loops made he in one curtain, and fifty loops made he in the edge of the curtain which was in the coupling of the second: the loops held one curtain to another."
EXO 36:13,"And he made fifty taches of gold, and coupled the curtains one unto another with the taches: so it became one tabernacle.","And he made fifty taches of gold, and coupled the curtains one unto another with the taches: so it became one tabernacle."
EXO 36:14,¶ And he made curtains of goats’ hair for the tent over the tabernacle: eleven curtains he made them.,¶ And he made curtains of goats’ hair for the tent over the tabernacle: eleven curtains he made them.
EXO 36:15,"The length of one curtain was thirty cubits, and four cubits was the breadth of one curtain: the eleven curtains were of one size.","The length of one curtain was thirty cubits, and four cubits was the breadth of one curtain: the eleven curtains were of one size."
EXO 36:16,"And he coupled five curtains by themselves, and six curtains by themselves.","And he coupled five curtains by themselves, and six curtains by themselves."
EXO 36:17,"And he made fifty loops upon the uttermost edge of the curtain in the coupling, and fifty loops made he upon the edge of the curtain which coupleth the second.","And he made fifty loops upon the uttermost edge of the curtain in the coupling, and fifty loops made he upon the edge of the curtain which coupleth the second."
EXO 36:18,"And he made fifty taches of brass to couple the tent together, that it might be one.","And he made fifty taches of brass to couple the tent together, that it might be one."
EXO 36:19,"And he made a covering for the tent of rams’ skins dyed red, and a covering of badgers’ skins above that.","And he made a covering for the tent of rams’ skins dyed red, and a covering of badgers’ skins above that."
EXO 36:20,"¶ And he made boards for the tabernacle of shittim wood, standing up.","¶ And he made boards for the tabernacle of shittim wood, standing up."
EXO 36:21,"The length of a board was ten cubits, and the breadth of a board one cubit and a half.","The length of a board was ten cubits, and the breadth of a board one cubit and a half."
EXO 36:22,"One board had two tenons, equally distant one from another: thus did he make for all the boards of the tabernacle.","One board had two tenons, equally distant one from another: thus did he make for all the boards of the tabernacle."
EXO 36:23,And he made boards for the tabernacle; twenty boards for the south side southward:,And he made boards for the tabernacle; twenty boards for the south side southward:
EXO 36:24,"And forty sockets of silver he made under the twenty boards; two sockets under one board for his two tenons, and two sockets under another board for his two tenons.","And forty sockets of silver he made under the twenty boards; two sockets under one board for his two tenons, and two sockets under another board for his two tenons."
EXO 36:25,"And for the other side of the tabernacle, which is toward the north corner, he made twenty boards,","And for the other side of the tabernacle, which is toward the north corner, he made twenty boards,"
EXO 36:26,"And their forty sockets of silver; two sockets under one board, and two sockets under another board.","And their forty sockets of silver; two sockets under one board, and two sockets under another board."
EXO 36:27,And for the sides of the tabernacle westward he made six boards.,And for the sides of the tabernacle westward he made six boards.
EXO 36:28,And two boards made he for the corners of the tabernacle in the two sides.,And two boards made he for the corners of the tabernacle in the two sides.
EXO 36:29,"And they were coupled beneath, and coupled together at the head thereof, to one ring: thus he did to both of them in both the corners.","And they were coupled beneath, and coupled together at the head thereof, to one ring: thus he did to both of them in both the corners."
EXO 36:30,"And there were eight boards; and their sockets were sixteen sockets of silver, under every board two sockets.","And there were eight boards; and their sockets were sixteen sockets of silver, under every board two sockets."
EXO 36:31,"¶ And he made bars of shittim wood; five for the boards of the one side of the tabernacle,","¶ And he made bars of shittim wood; five for the boards of the one side of the tabernacle,"
EXO 36:32,"And five bars for the boards of the other side of the tabernacle, and five bars for the boards of the tabernacle for the sides westward.","And five bars for the boards of the other side of the tabernacle, and five bars for the boards of the tabernacle for the sides westward."
EXO 36:33,And he made the middle bar to shoot through the boards from the one end to the other.,And he made the middle bar to shoot through the boards from the one end to the other.
EXO 36:34,"And he overlaid the boards with gold, and made their rings of gold to be places for the bars, and overlaid the bars with gold.","And he overlaid the boards with gold, and made their rings of gold to be places for the bars, and overlaid the bars with gold."
EXO 36:35,"¶ And he made a vail of blue, and purple, and scarlet, and fine twined linen: with cherubims made he it of cunning work.","¶ And he made a vail of blue, and purple, and scarlet, and fine twined linen: with cherubims made he it of cunning work."
EXO 36:36,"And he made thereunto four pillars of shittim wood, and overlaid them with gold: their hooks were of gold; and he cast for them four sockets of silver.","And he made thereunto four pillars of shittim wood, and overlaid them with gold: their hooks were of gold; and he cast for them four sockets of silver."
EXO 36:37,"¶ And he made an hanging for the tabernacle door of blue, and purple, and scarlet, and fine twined linen, of needlework;","¶ And he made an hanging for the tabernacle door of blue, and purple, and scarlet, and fine twined linen, of needlework;"
EXO 36:38,And the five pillars of it with their hooks: and he overlaid their chapiters and their fillets with gold: but their five sockets were of brass.,And the five pillars of it with their hooks: and he overlaid their chapiters and their fillets with gold: but their five sockets were of brass.
EXO 37:1,"And Bezaleel made the ark of shittim wood: two cubits and a half was the length of it, and a cubit and a half the breadth of it, and a cubit and a half the height of it:","And Bezaleel made the ark of shittim wood: two cubits and a half was the length of it, and a cubit and a half the breadth of it, and a cubit and a half the height of it:"
EXO 37:2,"And he overlaid it with pure gold within and without, and made a crown of gold to it round about.","And he overlaid it with pure gold within and without, and made a crown of gold to it round about."
EXO 37:3,"And he cast for it four rings of gold, to be set by the four corners of it; even two rings upon the one side of it, and two rings upon the other side of it.","And he cast for it four rings of gold, to be set by the four corners of it; even two rings upon the one side of it, and two rings upon the other side of it."
EXO 37:4,"And he made staves of shittim wood, and overlaid them with gold.","And he made staves of shittim wood, and overlaid them with gold."
EXO 37:5,"And he put the staves into the rings by the sides of the ark, to bear the ark.","And he put the staves into the rings by the sides of the ark, to bear the ark."
EXO 37:6,"¶ And he made the mercy seat of pure gold: two cubits and a half was the length thereof, and one cubit and a half the breadth thereof.","¶ And he made the mercy seat of pure gold: two cubits and a half was the length thereof, and one cubit and a half the breadth thereof."
EXO 37:7,"And he made two cherubims of gold, beaten out of one piece made he them, on the two ends of the mercy seat;","And he made two cherubims of gold, beaten out of one piece made he them, on the two ends of the mercy seat;"
EXO 37:8,"One cherub on the end on this side, and another cherub on the other end on that side: out of the mercy seat made he the cherubims on the two ends thereof.","One cherub on the end on this side, and another cherub on the other end on that side: out of the mercy seat made he the cherubims on the two ends thereof."
EXO 37:9,"And the cherubims spread out their wings on high, and covered with their wings over the mercy seat, with their faces one to another; even to the mercy seatward were the faces of the cherubims.","And the cherubims spread out their wings on high, and covered with their wings over the mercy seat, with their faces one to another; even to the mercy seatward were the faces of the cherubims."
EXO 37:10,"¶ And he made the table of shittim wood: two cubits was the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof:","¶ And he made the table of shittim wood: two cubits was the length thereof, and a cubit the breadth thereof, and a cubit and a half the height thereof:"
EXO 37:11,"And he overlaid it with pure gold, and made thereunto a crown of gold round about.","And he overlaid it with pure gold, and made thereunto a crown of gold round about."
EXO 37:12,Also he made thereunto a border of an handbreadth round about; and made a crown of gold for the border thereof round about.,Also he made thereunto a border of an handbreadth round about; and made a crown of gold for the border thereof round about.
EXO 37:13,"And he cast for it four rings of gold, and put the rings upon the four corners that were in the four feet thereof.","And he cast for it four rings of gold, and put the rings upon the four corners that were in the four feet thereof."
EXO 37:14,"Over against the border were the rings, the places for the staves to bear the table.","Over against the border were the rings, the places for the staves to bear the table."
EXO 37:15,"And he made the staves of shittim wood, and overlaid them with gold, to bear the table.","And he made the staves of shittim wood, and overlaid them with gold, to bear the table."
EXO 37:16,"And he made the vessels which were upon the table, his dishes, and his spoons, and his bowls, and his covers to cover withal, of pure gold.","And he made the vessels which were upon the table, his dishes, and his spoons, and his bowls, and his covers to cover withal, of pure gold."
EXO 37:17,"¶ And he made the candlestick of pure gold: of beaten work made he the candlestick; his shaft, and his branch, his bowls, his knops, and his flowers, were of the same:","¶ And he made the candlestick of pure gold: of beaten work made he the candlestick; his shaft, and his branch, his bowls, his knops, and his flowers, were of the same:"
EXO 37:18,"And six branches going out of the sides thereof; three branches of the candlestick out of the one side thereof, and three branches of the candlestick out of the other side thereof:","And six branches going out of the sides thereof; three branches of the candlestick out of the one side thereof, and three branches of the candlestick out of the other side thereof:"
EXO 37:19,"Three bowls made after the fashion of almonds in one branch, a knop and a flower; and three bowls made like almonds in another branch, a knop and a flower: so throughout the six branches going out of the candlestick.","Three bowls made after the fashion of almonds in one branch, a knop and a flower; and three bowls made like almonds in another branch, a knop and a flower: so throughout the six branches going out of the candlestick."
EXO 37:20,"And in the candlestick were four bowls made like almonds, his knops, and his flowers:","And in the candlestick were four bowls made like almonds, his knops, and his flowers:"
EXO 37:21,"And a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches going out of it.","And a knop under two branches of the same, and a knop under two branches of the same, and a knop under two branches of the same, according to the six branches going out of it."
EXO 37:22,Their knops and their branches were of the same: all of it was one beaten work of pure gold.,Their knops and their branches were of the same: all of it was one beaten work of pure gold.
EXO 37:23,"And he made his seven lamps, and his snuffers, and his snuffdishes, of pure gold.","And he made his seven lamps, and his snuffers, and his snuffdishes, of pure gold."
EXO 37:24,"Of a talent of pure gold made he it, and all the vessels thereof.","Of a talent of pure gold made he it, and all the vessels thereof."
EXO 37:25,"¶ And he made the incense altar of shittim wood: the length of it was a cubit, and the breadth of it a cubit; it was foursquare; and two cubits was the height of it; the horns thereof were of the same.","¶ And he made the incense altar of shittim wood: the length of it was a cubit, and the breadth of it a cubit; it was foursquare; and two cubits was the height of it; the horns thereof were of the same."
EXO 37:26,"And he overlaid it with pure gold, both the top of it, and the sides thereof round about, and the horns of it: also he made unto it a crown of gold round about.","And he overlaid it with pure gold, both the top of it, and the sides thereof round about, and the horns of it: also he made unto it a crown of gold round about."
EXO 37:27,"And he made two rings of gold for it under the crown thereof, by the two corners of it, upon the two sides thereof, to be places for the staves to bear it withal.","And he made two rings of gold for it under the crown thereof, by the two corners of it, upon the two sides thereof, to be places for the staves to bear it withal."
EXO 37:28,"And he made the staves of shittim wood, and overlaid them with gold.","And he made the staves of shittim wood, and overlaid them with gold."
EXO 37:29,"¶ And he made the holy anointing oil, and the pure incense of sweet spices, according to the work of the apothecary.","¶ And he made the holy anointing oil, and the pure incense of sweet spices, according to the work of the apothecary."
EXO 38:1,"And he made the altar of burnt offering of shittim wood: five cubits was the length thereof, and five cubits the breadth thereof; it was foursquare; and three cubits the height thereof.","And he made the altar of burnt offering of shittim wood: five cubits was the length thereof, and five cubits the breadth thereof; it was foursquare; and three cubits the height thereof."
EXO 38:2,And he made the horns thereof on the four corners of it; the horns thereof were of the same: and he overlaid it with brass.,And he made the horns thereof on the four corners of it; the horns thereof were of the same: and he overlaid it with brass.
EXO 38:3,"And he made all the vessels of the altar, the pots, and the shovels, and the basons, and the fleshhooks, and the firepans: all the vessels thereof made he of brass.","And he made all the vessels of the altar, the pots, and the shovels, and the basons, and the fleshhooks, and the firepans: all the vessels thereof made he of brass."
EXO 38:4,And he made for the altar a brasen grate of network under the compass thereof beneath unto the midst of it.,And he made for the altar a brasen grate of network under the compass thereof beneath unto the midst of it.
EXO 38:5,"And he cast four rings for the four ends of the grate of brass, to be places for the staves.","And he cast four rings for the four ends of the grate of brass, to be places for the staves."
EXO 38:6,"And he made the staves of shittim wood, and overlaid them with brass.","And he made the staves of shittim wood, and overlaid them with brass."
EXO 38:7,"And he put the staves into the rings on the sides of the altar, to bear it withal; he made the altar hollow with boards.","And he put the staves into the rings on the sides of the altar, to bear it withal; he made the altar hollow with boards."
EXO 38:8,"¶ And he made the laver of brass, and the foot of it of brass, of the lookingglasses of the women assembling, which assembled at the door of the tabernacle of the congregation.","¶ And he made the laver of brass, and the foot of it of brass, of the lookingglasses of the women assembling, which assembled at the door of the tabernacle of the congregation."
EXO 38:9,"¶ And he made the court: on the south side southward the hangings of the court were of fine twined linen, an hundred cubits:","¶ And he made the court: on the south side southward the hangings of the court were of fine twined linen, an hundred cubits:"
EXO 38:10,"Their pillars were twenty, and their brasen sockets twenty; the hooks of the pillars and their fillets were of silver.","Their pillars were twenty, and their brasen sockets twenty; the hooks of the pillars and their fillets were of silver."
EXO 38:11,"And for the north side the hangings were an hundred cubits, their pillars were twenty, and their sockets of brass twenty; the hooks of the pillars and their fillets of silver.","And for the north side the hangings were an hundred cubits, their pillars were twenty, and their sockets of brass twenty; the hooks of the pillars and their fillets of silver."
EXO 38:12,"And for the west side were hangings of fifty cubits, their pillars ten, and their sockets ten; the hooks of the pillars and their fillets of silver.","And for the west side were hangings of fifty cubits, their pillars ten, and their sockets ten; the hooks of the pillars and their fillets of silver."
EXO 38:13,And for the east side eastward fifty cubits.,And for the east side eastward fifty cubits.
EXO 38:14,"The hangings of the one side of the gate were fifteen cubits; their pillars three, and their sockets three.","The hangings of the one side of the gate were fifteen cubits; their pillars three, and their sockets three."
EXO 38:15,"And for the other side of the court gate, on this hand and that hand, were hangings of fifteen cubits; their pillars three, and their sockets three.","And for the other side of the court gate, on this hand and that hand, were hangings of fifteen cubits; their pillars three, and their sockets three."
EXO 38:16,All the hangings of the court round about were of fine twined linen.,All the hangings of the court round about were of fine twined linen.
EXO 38:17,And the sockets for the pillars were of brass; the hooks of the pillars and their fillets of silver; and the overlaying of their chapiters of silver; and all the pillars of the court were filleted with silver.,And the sockets for the pillars were of brass; the hooks of the pillars and their fillets of silver; and the overlaying of their chapiters of silver; and all the pillars of the court were filleted with silver.
EXO 38:18,"And the hanging for the gate of the court was needlework, of blue, and purple, and scarlet, and fine twined linen: and twenty cubits was the length, and the height in the breadth was five cubits, answerable to the hangings of the court.","And the hanging for the gate of the court was needlework, of blue, and purple, and scarlet, and fine twined linen: and twenty cubits was the length, and the height in the breadth was five cubits, answerable to the hangings of the court."
EXO 38:19,"And their pillars were four, and their sockets of brass four; their hooks of silver, and the overlaying of their chapiters and their fillets of silver.","And their pillars were four, and their sockets of brass four; their hooks of silver, and the overlaying of their chapiters and their fillets of silver."
EXO 38:20,"And all the pins of the tabernacle, and of the court round about, were of brass.","And all the pins of the tabernacle, and of the court round about, were of brass."
EXO 38:21,"¶ This is the sum of the tabernacle, even of the tabernacle of testimony, as it was counted, according to the commandment of Moses, for the service of the Levites, by the hand of Ithamar, son to Aaron the priest.","¶ This is the sum of the tabernacle, even of the tabernacle of testimony, as it was counted, according to the commandment of Moses, for the service of the Levites, by the hand of Ithamar, son to Aaron the priest."
